#Country Name: Please see filename.

graphical_culture = indiangfx

color = { 14 175 165 }

preferred_religion = buddhism

historical_idea_groups = {
	agraculture_ideas
	infantry_ideas
	expansion_ideas
	logistic_ideas
	administrative_ideas
	diplomatic_ideas
	domestic_government_ideas
	leadership_ideas
}

historical_units = {
	0_indian_levys
	0_early_archers
	0_chariots

	5_early_indian_spearmen
	5_early_bamboo_archers
	5_light_indian_cavalry

	10_indian_kshatriyas
	10_adv_archers
	10_adv_indian_cavalry

	15_late_indian_spearmen
	15_armored_skirmishers
	15_indian_elephants

	20_adv_indian_kshatriyas
	20_late_archers
	20_heavy_indian_cavalry

	25_indian_pikemen
	25_indian_noble_archers
	25_indian_war_elephants
}

monarch_names = {
	"Vijaya" = 30
	"Upatissa" = 30
	"Panduvasdeva" = 30
	"Abhaya" = 30
	"Tissa" = 30

	"Pandukabhaya" = 10
	"Mutasiva" = 10
	"Devanampiya Tissa" = 10
	"Uttiya" = 10
	"Mahavisa" = 10
	"Suratissa" = 10
	"Asela" = 10
	"Dutugamunu" = 10
	"Saddha Tissa" = 10
	"Thulatthana" = 10
	"Lanja Tissa" = 10
	"Khallata Naga" = 10
	"Vattagamani Abhaya" = 10
	"Vattagamani Abhaya" = 10
	"Mahakuli Mahatissa" = 10
	"Chora Naga" = 10
	"Kuda Tissa" = 10
	"Siva" = 10
	"Vatuka" = 10
	"Darubhatika Tissa" = 10
	"Niliya" = 10
	"Anula" = 10
	"Kutakanna Tissa" = 10
	"Bhatikabhaya Abhaya" = 10
	"Mahadathika Mahanaga" = 10
	"Amandagamani Abhaya" = 10
	"Kanirajanu Tissa" = 10
	"Ilanaga" = 10
	"Chandamukha" = 10
	"Yassalalaka Tissa" = 10
	"Subha" = 10

	"Kosala Devi" = -1
	"Chellana" = -1
	"Kshema" = -1
	"Khema" = -1
	"Nanda" = -1
	"Padumavati" = -1
	"Ambapali" = -1
	"Vajira" = -1
	"Subadhra" = -1
	"Devi" = -1
	"Karuvaki" = -1
	"Padmavati" = -1
	"Asandhimitra" = -1
	"Tishyaraksha" = -1
	"Charumati" = -1
	"Sanghamitra" = -1
	"Subhadrangi" = -1
	"Kalyani" = -1
	"Dharma" = -1
	"Charumitra" = -1
	"Durdhara" = -1
	"Amitanita" = -1
	"Kanchanamala" = -1
	"Dharini" = -1
	"Abha" = -1
	"Ghazi" = -1
	"Kamil" = -1
	"Nabil" = -1
	"Nuri" = -1
	"Oorja" = -1
}

leader_names = {
	Abhyasi Acharya Archaka Ayya Baba Babu Bhagavan Bhagavata Bhai Chettiar Caturdhara Chela Desamukhi Dvija Goswami Guru Jagadguru
	Kumara Mahantam Mahatma Mantrik Melshanti Muni Nayaka Pandita Paramahamsa Parampara Rajarishi Rajaguru Rishi Sadhaka Samanta
	Satguru Savai Shaunaka Shishya Sri Thakur Lambardar Patvari Ghatwal Pradhan Tal "Desa-Ratna" "Desa-Bandhu" "Desa-Priya" Mahamana
	Sardar
}

ship_names = {
	Arjuna Brahma Bharata Bhisma Kshatriya Yudhishthira Kunti Vanu Viraja Shakuntala Dusyanta Sahadeva Pandu Karna Nakula Kunti
	Matsya Madra Purus Bharatas Yadavas Barbaras Mleccha Dharmaraja Gandharva Naga Yakksha Pandavas Kauravas
	Duryodhana Dushana Vikarna Yuyutsu Dussala Kiratas Gandhari Kaikeyas Dhritarashtra Sudas Kikata Nishadas Jambudvipa Bharatavarsha
	Cedis Yadus Paravatas Bhalanas Vricivantas Turvashas Srinjayas Krivis Druhyus Vaikarnas Anus Pakthas Indra Agni Varuna Parjanya
	Vayu Vishnu Rama Shiva Saraswati Parvati Sati Ganga Sindhu Pulindas Brahmaputra Malaya Narmada Mahanadi Coleyas Gada Parashu
	Brahmana Yamuna Sutudri Vipas Parusni Vitasta Krumu Gomati Asikni Kubha Kusava Vitasta Sukracharya Dronacharya "Sapta Sindhavah"
	Saptarishi Manu Kratu Pulaha Pulastya Atri Angiras Vasistha Marichi "Veda Vyasa" Vidura Patala Sakadvipa Maharishi Satyavati Shantanu
